,Hamilton,Bottas,Verstappen,Perez,Ricciardo,Norris,Leclerc,Sainz,Vettel,Stroll,Alonso,Ocon,Gasly,Tsunoda,Raikkonen,Giovinazzi,Russel,Latifi,Schumacher,Mazepin,Mercedes,Red Bull,McLaren,Ferrari,Aston Martin,Alpine,AlphaTauri,Alfa Romeo,Williams,Haas
Bahrain-28/3/2021,45,32,35,46,15,29,20,22,36,11,-8,22,4,16,12,5,10,1,11,-14,67,53,39,26,18,13,13,12,6,7
Imola-18/4/2021,40,-9,44,10,19,34,56,46,1,18,14,26,51,6,13,8,-11,-13,11,6,36,44,48,46,14,22,23,16,4,12
Portugal-2/5/2021,43,32,111,46,14,54,22,4,4,8,17,36,10,2,-13,8,3,2,11,4,65,55,36,19,7,30,7,5,0,10
Spain-9/5/2021,44,27,41,46,23,24,28,26,3,8,-5,18,13,-14,15,4,10,8,7,4,66,59,30,36,6,-1,9,14,13,6
Monaco-23/5/2021,37,3,60,56,3,49,10,72,28,17,10,28,22,2,9,11,10,8,0,11,25,78,32,51,40,19,19,15,13,11
Azerbaijan-6/6/2021,5,4,9,102,13,32,50,16,36,-20,23,-26,43,13,17,6,3,5,15,10,9,45,40,28,31,20,41,23,3,20
France-20/6/2021,36,22,49,76,21,28,-2,20,16,7,17,0,36,6,2,6,12,0,4,0,53,72,44,-2,23,12,24,3,7,-1
France-27/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria-4/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Britain-18/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary-1/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-29/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands-5/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy-12/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia-26/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore-3/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan-10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States-24/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico-31/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil-7/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia-21/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia-5/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi-12/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,













